Data taking started at   1664294842.0286 seconds (2022-09-27 12:07:22.028607)
Event     Delta Time     Absolute Time   min[V]   max[V]   Delay[us]   pulse size
  277      4443.3642   1664299285.3928  -0.1600   0.0040      0.5780      27.8808
  278      4460.0790   1664299302.1076  -0.0832   0.0032      2.7400      27.7704
  279      4462.3819   1664299304.4105  -0.0808   0.0032      1.1040      27.9120
  280      4491.0520   1664299333.0806  -0.1600   0.0072      0.6620      36.0544
  281      4545.8613   1664299387.8900  -0.1104   0.0032      1.8500      28.2976
  282      4567.6271   1664299409.6557  -0.1048   0.0032      4.8200      28.0184
  283      4585.3319   1664299427.3605  -0.1600   0.0032      7.2220      27.6696
  284      4606.0786   1664299448.1072  -0.1392   0.0032      2.9340      27.9128
  285      4613.2578   1664299455.2864  -0.1192   0.0032      5.3160      27.3400
  286      4645.7720   1664299487.8006  -0.1600   0.0032      2.0800      27.7320
  287      4700.5761   1664299542.6048  -0.1600   0.0032      1.5800      28.3024
  288      4702.6708   1664299544.6994  -0.1600   0.0032      1.0420      27.8016
  289      4711.6781   1664299553.7067  -0.0368   0.0032      2.0840      29.0240
  290      4737.5015   1664299579.5301  -0.1600   0.0040      1.1960      27.2976
  291      4738.7837   1664299580.8123  -0.1344   0.0032      1.4300      27.5624
  292      4750.0153   1664299592.0439  -0.1232   0.0032      1.1140      27.8960
  293      4758.6041   1664299600.6327  -0.1600   0.0032      4.0160      28.1456
  294      4771.2437   1664299613.2723  -0.1600   0.0040      1.2180      28.6808
  295      4792.3927   1664299634.4213  -0.1008   0.0032      0.8480      28.3752
  296      4870.9214   1664299712.9500  -0.1600   0.0040      0.7580      28.2792
  297      4900.1842   1664299742.2128  -0.1216   0.0032     10.7040      28.0672
  298      4933.2934   1664299775.3220  -0.1400   0.0032      3.8340      28.2568
  299      4933.9737   1664299776.0023  -0.1600   0.0040      2.9460      28.5856
  300      4952.7088   1664299794.7374  -0.1600   0.0032      2.6160      27.6888
  301      4959.6622   1664299801.6908  -0.1600   0.0040      0.7480      28.3432
  302      4974.1367   1664299816.1653  -0.1600   0.0032      1.8540      28.6256
  303      5007.6687   1664299849.6973  -0.1168   0.0032      4.0900      27.6800
  304      5023.7629   1664299865.7915  -0.0632   0.0032      1.3860      28.3464
  305      5031.3450   1664299873.3736  -0.0680   0.0032      5.4860      28.3944
  306      5033.4466   1664299875.4753  -0.0960   0.0032      2.0660      28.8280
  307      5036.1658   1664299878.1944  -0.0640   0.0032      1.1740      29.3496
  308      5039.2708   1664299881.2995  -0.1344   0.0032      0.5920      27.8544
  309      5068.1439   1664299910.1725  -0.1480   0.0032      1.3900      27.9744
  310      5096.7857   1664299938.8143  -0.0944   0.0032      1.9400      28.7760
  311      5110.8686   1664299952.8972  -0.1400   0.0032      3.1200      27.4800
  312      5116.4074   1664299958.4361  -0.1600   0.0032      3.7140      28.5400
  313      5117.0897   1664299959.1183  -0.0776   0.0032      0.8780      28.0928
  314      5154.2657   1664299996.2943  -0.1064   0.0032      1.8600      28.7464
  315      5159.2272   1664300001.2558  -0.1600   0.0032      2.0220      27.6912
  316      5164.5652   1664300006.5938  -0.1088   0.0032      3.0400      28.6840
  317      5167.4874   1664300009.5161  -0.1248   0.0032      0.8040      29.1592
  318      5179.7290   1664300021.7577  -0.0592   0.0032      1.5360      28.9672
  319      5194.9810   1664300037.0096  -0.0904   0.0032      1.3640      28.7048
  320      5200.1241   1664300042.1527  -0.1600   0.0032      2.1620      27.6008
  321      5212.3624   1664300054.3910  -0.0960   0.0032      7.8760      27.0952
  322      5243.2527   1664300085.2813  -0.1600   0.0040      2.2560      28.1136
  323      5243.5126   1664300085.5412  -0.0448   0.0032      1.0780      28.4232
  324      5271.1555   1664300113.1841  -0.1312   0.0032      0.6660      28.6608
  325      5290.0795   1664300132.1081  -0.1248   0.0032      4.4620      27.7728
  326      5294.2178   1664300136.2464  -0.1600   0.0032      3.2780      27.7864
  327      5342.3362   1664300184.3648  -0.0672   0.0032      4.5400      28.6352
  328      5349.4887   1664300191.5173  -0.1288   0.0032      1.2540      28.5200
  329      5367.1965   1664300209.2251  -0.0376   0.0032      1.2160      28.5256
  330      5389.3767   1664300231.4053  -0.1600   0.0040      2.6880      27.2144
  331      5403.8497   1664300245.8784  -0.1408   0.0032      1.3580      27.7976
  332      5413.8653   1664300255.8940  -0.1056   0.0032      1.1380      28.1304
  333      5440.9031   1664300282.9317  -0.1328   0.0032      1.6000      28.9016
  334      5445.6371   1664300287.6657  -0.1600   0.0032      3.6360      27.9072
  335      5449.5652   1664300291.5938  -0.0840   0.0032      0.9160      28.3080
  336      5456.3423   1664300298.3709  -0.1600   0.0040      2.1360      28.0008
  337      5557.3897   1664300399.4183  -0.1384   0.0032      4.6540      28.5144
  338      5589.0954   1664300431.1240  -0.1400   0.0032      1.9200      28.3648
  339      5594.8586   1664300436.8872  -0.1600   0.0032      2.1980      28.1392
  340      5601.2091   1664300443.2377  -0.0984   0.0032      1.3360      28.2128
  341      5622.1762   1664300464.2048  -0.1416   0.0032      1.1500      27.0280
  342      5622.4259   1664300464.4545  -0.1600   0.0032      3.5680      27.6088
  343      5639.1123   1664300481.1409  -0.1560   0.0032      1.5940      27.6920
  344      5646.3121   1664300488.3407  -0.1600   0.0040      0.7680      27.8512
  345      5669.0712   1664300511.0998  -0.1600   0.0032      2.7380      28.5520
  346      5708.0508   1664300550.0794  -0.1048   0.0032      3.5800      27.4544
  347      5721.0993   1664300563.1279  -0.1600   0.0032      3.6260      27.5680
  348      5731.3084   1664300573.3370  -0.1600   0.0032      1.1440      27.8264
  349      5790.7746   1664300632.8032  -0.1600   0.0032      1.2380      27.4872
  350      5792.2638   1664300634.2924  -0.0352   0.0032      1.0840      27.8992
  351      5797.2046   1664300639.2332  -0.1456   0.0032      2.2100      27.7560
  352      5849.5872   1664300691.6158  -0.1600   0.0040      2.8480      28.5696
  353      5854.5236   1664300696.5522  -0.1056   0.0032      2.4180      28.3848
  354      5861.2904   1664300703.3190  -0.1352   0.0032      4.3560      27.9848
  355      5863.1852   1664300705.2138  -0.1536   0.0032      3.7140      27.8408
  356      5902.6059   1664300744.6345  -0.1296   0.0032      0.7980      28.7072
  357      5917.8819   1664300759.9105  -0.1328   0.0032      0.6100      27.0640
  358      5941.8750   1664300783.9036  -0.1600   0.0032      2.0480      27.7856
  359      5943.5645   1664300785.5931  -0.0888   0.0032      3.6040      28.4832
